stimulus,colour,alt1,alt2,correctresponse
yellow,yellow,yellow,blue,left
cyan,red,cyan,red,right
red,red,red,cyan,left
red,cyan,red,cyan,right
blue,blue,yellow,blue,right
blue,yellow,yellow,blue,left
yellow,blue,blue,yellow,left
yellow,yellow,blue,yellow,right
cyan,red,red,cyan,left
red,red,cyan,red,right
red,cyan,cyan,red,left
cyan,cyan,red,cyan,right
cyan,cyan,cyan,red,left
white,white,white,black,left
white,black,white,black,right
black,white,black,white,right
black,black,black,white,left
lightblue,orange,lightblue,orange,right
